TIME,SEGMENTID,SPEED,averagespeed
02/01/2013,1288,22,19.4
02/08/2013,1288,22,20.8
02/18/2013,1288,19,23.0
11/30/2014,1288,18,16.8
12/07/2014,1288,29,19.6
12/30/2014,1288,-1,14.25
02/17/2013,1288,20,26.0
01/17/2013,1288,-1,19.0
12/21/2014,1288,13,19.5
01/30/2013,1288,18,19.0
02/26/2013,1288,19,17.75
02/07/2013,1288,18,16.333333333333332
01/29/2013,1288,22,18.4
11/28/2014,1288,18,19.0
01/31/2013,1288,-1,22.25
12/10/2014,1288,16,16.0
12/03/2014,1288,16,17.25
12/29/2014,1288,-1,17.5
12/13/2014,1288,14,18.4
01/28/2013,1288,14,17.5
12/28/2014,1288,21,20.25
02/11/2013,1288,-1,18.0
12/11/2014,1288,23,16.25
11/29/2014,1288,15,19.2
02/04/2013,1288,20,19.0
02/12/2013,1288,16,16.0
12/09/2014,1288,-1,17.0
12/02/2014,1288,-1,15.25
02/16/2013,1288,18,21.25
02/28/2013,1288,25,22.2
01/18/2013,1288,17,15.75
01/15/2013,1288,18,20.25
02/10/2013,1288,18,18.0
12/14/2014,1288,14,17.75
12/06/2014,1288,21,18.25
12/23/2014,1288,15,20.0
02/27/2013,1288,15,16.8
01/19/2013,1288,-1,17.75
12/17/2014,1288,17,17.5
12/04/2014,1288,15,17.0
01/21/2013,1288,-1,17.666666666666668
12/15/2014,1288,17,17.2
02/02/2013,1288,-1,22.0
01/27/2013,1288,19,20.6
12/27/2014,1288,20,24.333333333333332
01/26/2013,1288,15,20.75
02/25/2013,1288,18,18.6
12/25/2014,1288,23,24.25
02/20/2013,1288,18,17.6
11/25/2014,1288,-1,13.75
01/16/2013,1288,18,18.0
01/20/2013,1288,25,24.75
12/22/2014,1288,14,16.0
02/06/2013,1288,20,18.75
12/24/2014,1288,18,17.5
02/05/2013,1288,-1,16.333333333333332
02/19/2013,1288,23,18.0
12/26/2014,1288,16,17.666666666666668
01/24/2013,1288,17,19.0
02/13/2013,1288,24,17.75
12/01/2014,1288,13,13.0
01/23/2013,1288,20,18.0
02/09/2013,1288,31,21.25
02/03/2013,1288,-1,24.25
12/16/2014,1288,17,19.4
01/25/2013,1288,20,18.0
12/18/2014,1288,21,15.8
12/12/2014,1288,14,14.4
11/26/2014,1288,20,18.25
02/15/2013,1288,16,18.0
12/19/2014,1288,-1,15.0
12/05/2014,1288,15,15.4
02/24/2013,1288,22,19.0
11/27/2014,1288,22,23.0
12/08/2014,1288,15,18.0
02/21/2013,1288,18,18.75
12/20/2014,1288,25,20.2
02/23/2013,1288,15,18.25
02/14/2013,1288,21,21.666666666666668
02/22/2013,1288,16,18.25
01/22/2013,1288,20,17.8
04/27/2018,1288,15,12.2
04/26/2018,1288,24,24.5
04/25/2018,1288,29,22.0
04/24/2018,1288,21,20.5
04/23/2018,1288,18,19.4
04/22/2018,1288,-1,21.333333333333332
04/21/2018,1288,18,19.6
04/20/2018,1288,23,21.25
04/19/2018,1288,24,22.75
04/18/2018,1288,24,18.25
04/17/2018,1288,25,23.0
04/16/2018,1288,25,21.2
04/14/2018,1288,24,20.6
04/13/2018,1288,17,20.6
04/12/2018,1288,25,21.2
04/11/2018,1288,21,21.4
04/10/2018,1288,27,21.5
04/09/2018,1288,22,23.6
04/08/2018,1288,20,22.2
04/07/2018,1288,21,17.0
04/06/2018,1288,24,20.5
04/05/2018,1288,27,20.25
04/04/2018,1288,18,21.25
04/03/2018,1288,25,18.8
04/02/2018,1288,25,23.75
04/01/2018,1288,19,20.2
03/31/2018,1288,-1,19.25
03/30/2018,1288,14,18.666666666666668
03/29/2018,1288,23,23.5
03/28/2018,1288,20,18.75
03/27/2018,1288,20,20.0
03/26/2018,1288,25,23.4
03/25/2018,1288,18,21.75
03/24/2018,1288,23,18.75
03/23/2018,1288,23,17.8
03/22/2018,1288,27,22.4
03/21/2018,1288,20,20.2
03/20/2018,1288,13,21.0
03/19/2018,1288,26,22.4
03/18/2018,1288,29,26.0
03/17/2018,1288,26,21.4
03/16/2018,1288,24,21.0
03/15/2018,1288,21,19.4
03/14/2018,1288,-1,22.25
03/13/2018,1288,21,20.2
05/03/2018,1288,14,14.5
05/02/2018,1288,25,21.5
05/01/2018,1288,20,23.0
04/30/2018,1288,-1,19.666666666666668
04/29/2018,1288,23,21.0
04/28/2018,1288,25,21.0
