TIME,SEGMENTID,SPEED
02/16/2013 11:50:32 PM,922,17
02/23/2013 11:50:32 PM,922,27
01/20/2013 11:50:32 PM,922,18
12/11/2014 11:50:32 PM,922,24
01/27/2013 11:50:32 PM,922,12
12/03/2014 11:50:32 PM,922,16
02/18/2013 11:50:32 PM,922,16
12/25/2014 11:50:32 PM,922,17
02/11/2013 11:50:32 PM,922,29
12/12/2014 11:50:32 PM,922,24
12/11/2014 11:50:32 PM,922,12
02/17/2013 11:50:32 PM,922,12
01/15/2013 11:50:32 PM,922,16
01/15/2013 11:50:32 PM,922,16
12/23/2014 11:50:32 PM,922,14
01/18/2013 11:50:32 PM,922,16
02/15/2013 11:50:32 PM,922,18
12/24/2014 11:50:32 PM,922,16
12/08/2014 11:50:32 PM,922,14
01/23/2013 11:50:32 PM,922,25
01/31/2013 11:50:32 PM,922,-1
01/15/2013 11:50:32 PM,922,14
12/01/2014 11:50:32 PM,922,22
12/20/2014 11:50:32 PM,922,19
02/23/2013 11:50:32 PM,922,15
02/21/2013 11:50:32 PM,922,26
12/16/2014 11:50:32 PM,922,18
02/21/2013 11:50:32 PM,922,14
01/29/2013 11:50:32 PM,922,14
11/29/2014 11:50:32 PM,922,20
01/19/2013 11:50:32 PM,922,19
01/16/2013 11:50:32 PM,922,14
02/15/2013 11:50:32 PM,922,16
12/12/2014 11:50:32 PM,922,14
12/01/2014 11:50:32 PM,922,25
12/24/2014 11:50:32 PM,922,15
12/07/2014 11:50:32 PM,922,-1
02/17/2013 11:50:32 PM,922,20
12/16/2014 11:50:32 PM,922,16
02/18/2013 11:50:32 PM,922,15
02/19/2013 11:50:32 PM,922,14
02/27/2013 11:50:32 PM,922,16
12/01/2014 11:50:32 PM,922,-1
02/11/2013 11:50:32 PM,922,18
01/16/2013 11:50:32 PM,922,11
01/30/2013 11:50:32 PM,922,23
02/09/2013 11:50:32 PM,922,15
02/13/2013 11:50:32 PM,922,15
12/17/2014 11:50:32 PM,922,20
02/26/2013 11:50:32 PM,922,22
12/19/2014 11:50:32 PM,922,16
02/05/2013 11:50:32 PM,922,15
12/27/2014 11:50:32 PM,922,15
12/28/2014 11:50:32 PM,922,14
01/15/2013 11:50:32 PM,922,25
02/05/2013 11:50:32 PM,922,29
01/27/2013 11:50:32 PM,922,12
01/29/2013 11:50:32 PM,922,18
02/09/2013 11:50:32 PM,922,23
02/13/2013 11:50:32 PM,922,17
01/16/2013 11:50:32 PM,922,14
02/15/2013 11:50:32 PM,922,-1
12/06/2014 11:50:32 PM,922,18
01/31/2013 11:50:32 PM,922,19
12/13/2014 11:50:32 PM,922,14
01/19/2013 11:50:32 PM,922,21
02/24/2013 11:50:32 PM,922,17
01/18/2013 11:50:32 PM,922,16
02/06/2013 11:50:32 PM,922,16
12/07/2014 11:50:32 PM,922,22
12/14/2014 11:50:32 PM,922,16
11/27/2014 11:50:32 PM,922,18
12/17/2014 11:50:32 PM,922,14
02/06/2013 11:50:32 PM,922,23
01/23/2013 11:50:32 PM,922,14
02/18/2013 11:50:32 PM,922,18
12/05/2014 11:50:32 PM,922,14
01/15/2013 11:50:32 PM,922,14
12/14/2014 11:50:32 PM,922,14
01/26/2013 11:50:32 PM,922,15
02/02/2013 11:50:32 PM,922,16
02/21/2013 11:50:32 PM,922,15
12/08/2014 11:50:32 PM,922,16
11/27/2014 11:50:32 PM,922,-1
11/28/2014 11:50:32 PM,922,16
02/27/2013 11:50:32 PM,922,17
