TIME,SEGMENTID,SPEED,averagespeed
12/28/2014,1259,27,22.25
02/19/2013,1259,24,22.8
02/21/2013,1259,18,15.333333333333334
12/06/2014,1259,14,20.0
02/09/2013,1259,25,18.666666666666668
02/15/2013,1259,14,16.25
02/14/2013,1259,-1,16.75
02/20/2013,1259,-1,17.5
01/26/2013,1259,16,20.75
12/07/2014,1259,29,22.5
12/19/2014,1259,22,17.0
01/30/2013,1259,-1,20.333333333333332
12/01/2014,1259,-1,16.0
01/24/2013,1259,24,18.25
01/28/2013,1259,-1,22.0
02/13/2013,1259,27,20.0
12/05/2014,1259,-1,21.0
02/26/2013,1259,13,16.5
12/20/2014,1259,23,19.0
01/16/2013,1259,-1,20.5
12/15/2014,1259,14,12.5
02/22/2013,1259,11,16.0
02/17/2013,1259,-1,27.0
01/25/2013,1259,22,22.666666666666668
12/18/2014,1259,-1,15.666666666666666
02/05/2013,1259,18,21.0
01/15/2013,1259,21,22.5
12/11/2014,1259,11,12.666666666666666
12/02/2014,1259,20,19.2
12/16/2014,1259,-1,17.75
01/22/2013,1259,-1,22.5
12/09/2014,1259,23,18.5
01/27/2013,1259,31,29.333333333333332
01/20/2013,1259,22,22.5
02/28/2013,1259,23,20.333333333333332
11/27/2014,1259,18,14.5
01/17/2013,1259,25,18.0
02/08/2013,1259,-1,20.333333333333332
02/27/2013,1259,-1,22.75
12/24/2014,1259,15,16.666666666666668
02/23/2013,1259,14,15.0
12/13/2014,1259,-1,21.666666666666668
12/27/2014,1259,16,18.75
11/26/2014,1259,22,13.0
12/14/2014,1259,-1,24.5
02/12/2013,1259,11,12.0
11/29/2014,1259,-1,21.25
12/12/2014,1259,16,13.0
02/06/2013,1259,25,22.2
01/31/2013,1259,14,19.25
11/25/2014,1259,21,19.4
02/04/2013,1259,23,17.25
11/28/2014,1259,23,21.0
12/30/2014,1259,16,17.666666666666668
01/18/2013,1259,23,19.8
02/18/2013,1259,-1,17.75
01/29/2013,1259,14,15.5
02/10/2013,1259,19,17.0
12/25/2014,1259,-1,20.0
12/03/2014,1259,22,18.5
11/30/2014,1259,23,22.5
02/16/2013,1259,-1,21.0
02/25/2013,1259,25,21.0
02/24/2013,1259,14,20.25
02/11/2013,1259,19,17.5
01/21/2013,1259,19,20.0
01/23/2013,1259,-1,24.666666666666668
12/26/2014,1259,15,17.0
02/02/2013,1259,22,24.333333333333332
12/10/2014,1259,-1,16.333333333333332
02/03/2013,1259,-1,25.5
01/19/2013,1259,21,20.0
12/17/2014,1259,24,18.0
12/23/2014,1259,13,15.4
02/07/2013,1259,16,14.333333333333334
12/21/2014,1259,-1,22.0
12/22/2014,1259,16,13.0
12/08/2014,1259,-1,16.0
12/29/2014,1259,23,18.0
02/01/2013,1259,15,19.5
12/04/2014,1259,22,20.666666666666668
04/27/2018,1259,8,10.6
04/26/2018,1259,-1,19.666666666666668
04/25/2018,1259,-1,17.0
04/24/2018,1259,-1,19.0
04/23/2018,1259,-1,14.0
04/22/2018,1259,17,17.666666666666668
04/21/2018,1259,-1,19.333333333333332
04/20/2018,1259,-1,15.666666666666666
04/19/2018,1259,-1,14.5
04/18/2018,1259,-1,18.0
04/17/2018,1259,-1,17.0
04/16/2018,1259,-1,17.0
04/14/2018,1259,20,14.0
04/13/2018,1259,-1,18.25
04/12/2018,1259,-1,15.0
04/11/2018,1259,-1,19.0
04/10/2018,1259,-1,15.0
04/09/2018,1259,-1,15.0
04/08/2018,1259,13,16.5
04/07/2018,1259,19,16.333333333333332
04/06/2018,1259,-1,18.333333333333332
04/05/2018,1259,-1,21.5
04/04/2018,1259,-1,19.0
04/03/2018,1259,-1,20.5
04/02/2018,1259,-1,20.666666666666668
04/01/2018,1259,21,16.75
03/31/2018,1259,-1,14.5
03/30/2018,1259,-1,21.0
03/29/2018,1259,-1,19.0
03/28/2018,1259,-1,16.5
03/27/2018,1259,-1,14.5
03/26/2018,1259,19,20.0
03/25/2018,1259,17,17.4
03/24/2018,1259,22,17.666666666666668
03/23/2018,1259,-1,18.666666666666668
03/22/2018,1259,-1,23.333333333333332
03/21/2018,1259,-1,17.0
03/20/2018,1259,-1,15.5
03/19/2018,1259,-1,16.0
03/18/2018,1259,20,19.666666666666668
03/17/2018,1259,18,19.25
03/16/2018,1259,22,19.0
03/15/2018,1259,-1,18.0
03/14/2018,1259,22,19.333333333333332
03/13/2018,1259,-1,13.0
05/03/2018,1259,16,17.4
05/02/2018,1259,-1,18.5
05/01/2018,1259,-1,20.5
04/30/2018,1259,-1,18.5
04/29/2018,1259,23,21.0
04/28/2018,1259,13,12.333333333333334
