TIME,SEGMENTID,SPEED
12/15/2014 11:50:32 PM,1034,11
12/16/2014 11:50:32 PM,1034,-1
02/15/2013 11:50:32 PM,1034,-1
11/25/2014 11:50:32 PM,1034,-1
11/27/2014 11:50:32 PM,1034,-1
12/10/2014 11:50:32 PM,1034,-1
12/06/2014 11:50:32 PM,1034,-1
02/17/2013 11:50:32 PM,1034,-1
02/11/2013 11:50:32 PM,1034,22
01/23/2013 11:50:32 PM,1034,-1
12/19/2014 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
02/07/2013 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
12/05/2014 11:50:32 PM,1034,-1
11/27/2014 11:50:32 PM,1034,-1
12/03/2014 11:50:32 PM,1034,10
12/06/2014 11:50:32 PM,1034,-1
02/15/2013 11:50:32 PM,1034,22
02/15/2013 11:50:32 PM,1034,11
02/06/2013 11:50:32 PM,1034,22
12/21/2014 11:50:32 PM,1034,-1
12/27/2014 11:50:32 PM,1034,-1
02/26/2013 11:50:32 PM,1034,-1
12/27/2014 11:50:32 PM,1034,-1
12/02/2014 11:50:32 PM,1034,5
02/20/2013 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,-1
12/16/2014 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
12/11/2014 11:50:32 PM,1034,-1
01/30/2013 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,22
12/29/2014 11:50:32 PM,1034,22
02/09/2013 11:50:32 PM,1034,-1
02/05/2013 11:50:32 PM,1034,-1
12/05/2014 11:50:32 PM,1034,22
02/14/2013 11:50:32 PM,1034,-1
01/15/2013 11:50:32 PM,1034,-1
02/02/2013 11:50:32 PM,1034,-1
01/18/2013 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,-1
02/05/2013 11:50:32 PM,1034,20
12/30/2014 11:50:32 PM,1034,13
12/10/2014 11:50:32 PM,1034,-1
02/01/2013 11:50:32 PM,1034,22
01/28/2013 11:50:32 PM,1034,-1
02/23/2013 11:50:32 PM,1034,-1
12/07/2014 11:50:32 PM,1034,-1
02/17/2013 11:50:32 PM,1034,-1
02/13/2013 11:50:32 PM,1034,-1
11/26/2014 11:50:32 PM,1034,-1
02/16/2013 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,-1
01/17/2013 11:50:32 PM,1034,-1
01/21/2013 11:50:32 PM,1034,22
02/03/2013 11:50:32 PM,1034,-1
12/09/2014 11:50:32 PM,1034,-1
12/03/2014 11:50:32 PM,1034,-1
12/12/2014 11:50:32 PM,1034,-1
02/15/2013 11:50:32 PM,1034,-1
12/07/2014 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,-1
02/03/2013 11:50:32 PM,1034,-1
12/04/2014 11:50:32 PM,1034,29
12/06/2014 11:50:32 PM,1034,-1
02/24/2013 11:50:32 PM,1034,-1
01/20/2013 11:50:32 PM,1034,22
01/31/2013 11:50:32 PM,1034,-1
02/01/2013 11:50:32 PM,1034,-1
12/17/2014 11:50:32 PM,1034,-1
12/30/2014 11:50:32 PM,1034,22
02/14/2013 11:50:32 PM,1034,12
02/23/2013 11:50:32 PM,1034,-1
01/23/2013 11:50:32 PM,1034,-1
12/10/2014 11:50:32 PM,1034,-1
12/19/2014 11:50:32 PM,1034,-1
01/23/2013 11:50:32 PM,1034,-1
02/08/2013 11:50:32 PM,1034,13
12/17/2014 11:50:32 PM,1034,-1
01/15/2013 11:50:32 PM,1034,-1
12/16/2014 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
02/13/2013 11:50:32 PM,1034,-1
02/11/2013 11:50:32 PM,1034,-1
01/25/2013 11:50:32 PM,1034,12
12/08/2014 11:50:32 PM,1034,-1
02/23/2013 11:50:32 PM,1034,-1
01/20/2013 11:50:32 PM,1034,-1
01/31/2013 11:50:32 PM,1034,-1
11/30/2014 11:50:32 PM,1034,-1
02/02/2013 11:50:32 PM,1034,-1
02/08/2013 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,-1
01/28/2013 11:50:32 PM,1034,13
12/13/2014 11:50:32 PM,1034,-1
02/04/2013 11:50:32 PM,1034,12
12/19/2014 11:50:32 PM,1034,-1
02/06/2013 11:50:32 PM,1034,11
12/20/2014 11:50:32 PM,1034,-1
01/15/2013 11:50:32 PM,1034,-1
12/21/2014 11:50:32 PM,1034,-1
02/14/2013 11:50:32 PM,1034,-1
12/14/2014 11:50:32 PM,1034,-1
02/15/2013 11:50:32 PM,1034,25
02/11/2013 11:50:32 PM,1034,22
02/03/2013 11:50:32 PM,1034,-1
02/05/2013 11:50:32 PM,1034,-1
12/27/2014 11:50:32 PM,1034,-1
12/28/2014 11:50:32 PM,1034,-1
12/01/2014 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,-1
12/26/2014 11:50:32 PM,1034,-1
12/21/2014 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,6
02/02/2013 11:50:32 PM,1034,22
02/16/2013 11:50:32 PM,1034,-1
12/15/2014 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
12/29/2014 11:50:32 PM,1034,-1
12/11/2014 11:50:32 PM,1034,-1
12/06/2014 11:50:32 PM,1034,-1
12/27/2014 11:50:32 PM,1034,-1
01/17/2013 11:50:32 PM,1034,-1
12/04/2014 11:50:32 PM,1034,-1
02/11/2013 11:50:32 PM,1034,-1
01/16/2013 11:50:32 PM,1034,23
12/21/2014 11:50:32 PM,1034,-1
02/23/2013 11:50:32 PM,1034,-1
12/29/2014 11:50:32 PM,1034,11
12/29/2014 11:50:32 PM,1034,22
01/28/2013 11:50:32 PM,1034,7
12/04/2014 11:50:32 PM,1034,-1
11/30/2014 11:50:32 PM,1034,-1
12/25/2014 11:50:32 PM,1034,-1
12/11/2014 11:50:32 PM,1034,18
02/17/2013 11:50:32 PM,1034,-1
12/24/2014 11:50:32 PM,1034,27
12/24/2014 11:50:32 PM,1034,-1
02/15/2013 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,-1
01/23/2013 11:50:32 PM,1034,-1
12/04/2014 11:50:32 PM,1034,-1
02/22/2013 11:50:32 PM,1034,-1
12/02/2014 11:50:32 PM,1034,12
01/22/2013 11:50:32 PM,1034,-1
12/23/2014 11:50:32 PM,1034,-1
01/20/2013 11:50:32 PM,1034,-1
12/17/2014 11:50:32 PM,1034,-1
02/24/2013 11:50:32 PM,1034,-1
02/04/2013 11:50:32 PM,1034,14
12/05/2014 11:50:32 PM,1034,20
02/28/2013 11:50:32 PM,1034,-1
01/16/2013 11:50:32 PM,1034,-1
02/07/2013 11:50:32 PM,1034,-1
11/28/2014 11:50:32 PM,1034,25
01/19/2013 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,-1
12/17/2014 11:50:32 PM,1034,-1
12/01/2014 11:50:32 PM,1034,-1
12/15/2014 11:50:32 PM,1034,16
01/19/2013 11:50:32 PM,1034,-1
01/21/2013 11:50:32 PM,1034,-1
02/08/2013 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
02/13/2013 11:50:32 PM,1034,-1
01/21/2013 11:50:32 PM,1034,22
01/30/2013 11:50:32 PM,1034,-1
12/07/2014 11:50:32 PM,1034,-1
02/05/2013 11:50:32 PM,1034,23
02/15/2013 11:50:32 PM,1034,-1
02/27/2013 11:50:32 PM,1034,-1
02/01/2013 11:50:32 PM,1034,22
02/02/2013 11:50:32 PM,1034,-1
11/28/2014 11:50:32 PM,1034,-1
12/07/2014 11:50:32 PM,1034,-1
01/20/2013 11:50:32 PM,1034,-1
01/25/2013 11:50:32 PM,1034,22
01/30/2013 11:50:32 PM,1034,18
02/04/2013 11:50:32 PM,1034,-1
12/10/2014 11:50:32 PM,1034,22
01/26/2013 11:50:32 PM,1034,-1
02/21/2013 11:50:32 PM,1034,-1
02/13/2013 11:50:32 PM,1034,22
02/01/2013 11:50:32 PM,1034,-1
12/27/2014 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
02/28/2013 11:50:32 PM,1034,-1
12/24/2014 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,22
11/26/2014 11:50:32 PM,1034,25
02/01/2013 11:50:32 PM,1034,-1
12/02/2014 11:50:32 PM,1034,-1
01/26/2013 11:50:32 PM,1034,-1
12/16/2014 11:50:32 PM,1034,22
11/29/2014 11:50:32 PM,1034,-1
12/13/2014 11:50:32 PM,1034,-1
02/05/2013 11:50:32 PM,1034,-1
11/27/2014 11:50:32 PM,1034,-1
01/27/2013 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,-1
12/12/2014 11:50:32 PM,1034,-1
01/21/2013 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,-1
02/26/2013 11:50:32 PM,1034,-1
01/16/2013 11:50:32 PM,1034,16
02/04/2013 11:50:32 PM,1034,6
02/06/2013 11:50:32 PM,1034,-1
02/16/2013 11:50:32 PM,1034,-1
12/12/2014 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
12/02/2014 11:50:32 PM,1034,6
02/21/2013 11:50:32 PM,1034,-1
12/21/2014 11:50:32 PM,1034,22
12/03/2014 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,-1
11/30/2014 11:50:32 PM,1034,-1
11/26/2014 11:50:32 PM,1034,-1
12/23/2014 11:50:32 PM,1034,32
02/23/2013 11:50:32 PM,1034,-1
02/22/2013 11:50:32 PM,1034,-1
12/16/2014 11:50:32 PM,1034,32
01/21/2013 11:50:32 PM,1034,-1
11/27/2014 11:50:32 PM,1034,-1
12/26/2014 11:50:32 PM,1034,18
02/13/2013 11:50:32 PM,1034,22
12/02/2014 11:50:32 PM,1034,11
12/15/2014 11:50:32 PM,1034,28
12/12/2014 11:50:32 PM,1034,-1
01/31/2013 11:50:32 PM,1034,-1
01/18/2013 11:50:32 PM,1034,-1
02/21/2013 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
01/18/2013 11:50:32 PM,1034,-1
01/17/2013 11:50:32 PM,1034,-1
12/12/2014 11:50:32 PM,1034,-1
01/25/2013 11:50:32 PM,1034,-1
12/19/2014 11:50:32 PM,1034,-1
11/27/2014 11:50:32 PM,1034,-1
12/09/2014 11:50:32 PM,1034,-1
12/09/2014 11:50:32 PM,1034,-1
11/27/2014 11:50:32 PM,1034,-1
02/12/2013 11:50:32 PM,1034,22
02/08/2013 11:50:32 PM,1034,-1
01/30/2013 11:50:32 PM,1034,-1
12/26/2014 11:50:32 PM,1034,-1
02/04/2013 11:50:32 PM,1034,-1
12/27/2014 11:50:32 PM,1034,-1
12/12/2014 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,-1
02/06/2013 11:50:32 PM,1034,21
12/07/2014 11:50:32 PM,1034,-1
01/26/2013 11:50:32 PM,1034,-1
02/01/2013 11:50:32 PM,1034,22
02/28/2013 11:50:32 PM,1034,-1
02/13/2013 11:50:32 PM,1034,-1
02/17/2013 11:50:32 PM,1034,-1
12/19/2014 11:50:32 PM,1034,27
02/07/2013 11:50:32 PM,1034,-1
02/14/2013 11:50:32 PM,1034,-1
12/19/2014 11:50:32 PM,1034,-1
12/18/2014 11:50:32 PM,1034,-1
01/28/2013 11:50:32 PM,1034,18
12/24/2014 11:50:32 PM,1034,-1
02/02/2013 11:50:32 PM,1034,-1
12/29/2014 11:50:32 PM,1034,-1
02/06/2013 11:50:32 PM,1034,-1
12/02/2014 11:50:32 PM,1034,-1
01/15/2013 11:50:32 PM,1034,20
12/25/2014 11:50:32 PM,1034,-1
12/07/2014 11:50:32 PM,1034,-1
12/16/2014 11:50:32 PM,1034,-1
12/18/2014 11:50:32 PM,1034,32
12/01/2014 11:50:32 PM,1034,-1
02/01/2013 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
01/23/2013 11:50:32 PM,1034,22
02/21/2013 11:50:32 PM,1034,22
02/20/2013 11:50:32 PM,1034,-1
12/05/2014 11:50:32 PM,1034,-1
02/06/2013 11:50:32 PM,1034,-1
02/10/2013 11:50:32 PM,1034,-1
11/26/2014 11:50:32 PM,1034,-1
12/28/2014 11:50:32 PM,1034,-1
12/05/2014 11:50:32 PM,1034,-1
02/14/2013 11:50:32 PM,1034,-1
12/07/2014 11:50:32 PM,1034,-1
02/07/2013 11:50:32 PM,1034,-1
02/07/2013 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,25
11/29/2014 11:50:32 PM,1034,-1
12/11/2014 11:50:32 PM,1034,-1
01/22/2013 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
02/09/2013 11:50:32 PM,1034,-1
01/17/2013 11:50:32 PM,1034,-1
01/17/2013 11:50:32 PM,1034,-1
12/28/2014 11:50:32 PM,1034,-1
02/10/2013 11:50:32 PM,1034,-1
12/13/2014 11:50:32 PM,1034,-1
02/01/2013 11:50:32 PM,1034,20
02/12/2013 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,22
02/27/2013 11:50:32 PM,1034,22
12/19/2014 11:50:32 PM,1034,-1
12/26/2014 11:50:32 PM,1034,-1
12/22/2014 11:50:32 PM,1034,-1
01/31/2013 11:50:32 PM,1034,-1
01/27/2013 11:50:32 PM,1034,-1
01/24/2013 11:50:32 PM,1034,12
12/17/2014 11:50:32 PM,1034,-1
12/25/2014 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
02/17/2013 11:50:32 PM,1034,-1
01/29/2013 11:50:32 PM,1034,-1
02/19/2013 11:50:32 PM,1034,-1
01/26/2013 11:50:32 PM,1034,-1
12/26/2014 11:50:32 PM,1034,32
02/12/2013 11:50:32 PM,1034,22
01/22/2013 11:50:32 PM,1034,18
01/15/2013 11:50:32 PM,1034,-1
12/03/2014 11:50:32 PM,1034,32
12/19/2014 11:50:32 PM,1034,-1
01/15/2013 11:50:32 PM,1034,-1
01/15/2013 11:50:32 PM,1034,-1
02/03/2013 11:50:32 PM,1034,-1
02/15/2013 11:50:32 PM,1034,-1
02/25/2013 11:50:32 PM,1034,-1
02/24/2013 11:50:32 PM,1034,-1
02/22/2013 11:50:32 PM,1034,-1
12/05/2014 11:50:32 PM,1034,15
12/23/2014 11:50:32 PM,1034,11
02/16/2013 11:50:32 PM,1034,-1
02/23/2013 11:50:32 PM,1034,-1
12/23/2014 11:50:32 PM,1034,-1
02/10/2013 11:50:32 PM,1034,-1
