TIME,SEGMENTID,SPEED,averagespeed
02/16/2013,922,17,22.4
02/23/2013,922,27,20.4
01/20/2013,922,18,17.25
12/11/2014,922,24,20.6
01/27/2013,922,12,15.4
12/03/2014,922,16,19.0
02/18/2013,922,16,16.6
12/25/2014,922,17,16.6
02/11/2013,922,29,17.8
12/12/2014,922,24,16.75
02/17/2013,922,12,15.0
01/15/2013,922,16,17.0
12/23/2014,922,14,17.2
01/18/2013,922,16,17.4
02/15/2013,922,18,16.25
12/24/2014,922,16,18.4
12/08/2014,922,14,18.2
01/23/2013,922,25,17.8
01/31/2013,922,-1,17.0
12/01/2014,922,22,21.333333333333332
12/20/2014,922,19,16.5
02/21/2013,922,26,17.8
12/16/2014,922,18,19.8
01/29/2013,922,14,16.0
11/29/2014,922,20,19.8
01/19/2013,922,19,18.8
01/16/2013,922,14,14.4
12/07/2014,922,-1,19.25
02/19/2013,922,14,20.6
02/27/2013,922,16,15.2
01/30/2013,922,23,20.4
02/09/2013,922,15,18.2
02/13/2013,922,15,19.8
12/17/2014,922,20,18.5
02/26/2013,922,22,20.25
12/19/2014,922,16,18.4
02/05/2013,922,15,15.75
12/27/2014,922,15,16.5
12/28/2014,922,14,19.75
12/06/2014,922,18,19.4
12/13/2014,922,14,15.4
02/24/2013,922,17,20.25
02/06/2013,922,16,19.4
12/14/2014,922,16,19.25
11/27/2014,922,18,16.75
12/05/2014,922,14,17.4
01/26/2013,922,15,15.5
02/02/2013,922,16,15.2
11/28/2014,922,16,15.75
02/25/2013,922,18,17.0
01/17/2013,922,14,15.4
11/26/2014,922,16,14.6
12/15/2014,922,13,17.0
12/30/2014,922,14,18.0
12/26/2014,922,16,15.4
12/18/2014,922,14,15.0
02/14/2013,922,14,15.2
12/29/2014,922,16,17.2
12/22/2014,922,18,17.6
11/25/2014,922,17,17.6
12/02/2014,922,16,15.25
02/03/2013,922,16,16.0
02/12/2013,922,18,16.4
02/07/2013,922,14,18.8
02/22/2013,922,16,17.25
02/10/2013,922,18,17.8
12/10/2014,922,29,24.4
02/01/2013,922,18,18.6
02/08/2013,922,16,17.333333333333332
12/21/2014,922,26,22.5
02/04/2013,922,22,19.0
12/04/2014,922,20,18.8
11/30/2014,922,18,17.8
02/28/2013,922,17,17.0
01/21/2013,922,15,17.4
01/25/2013,922,18,17.2
01/24/2013,922,10,15.6
01/22/2013,922,17,19.4
02/20/2013,922,15,14.8
01/28/2013,922,14,16.0
12/09/2014,922,14,15.0
04/27/2018,922,13,14.2
04/26/2018,922,14,20.0
04/25/2018,922,18,21.4
04/24/2018,922,18,20.6
04/23/2018,922,25,21.4
04/22/2018,922,14,14.0
04/21/2018,922,30,21.6
04/20/2018,922,18,13.8
04/19/2018,922,19,18.6
04/18/2018,922,22,20.0
04/17/2018,922,19,20.4
04/16/2018,922,20,20.4
04/14/2018,922,18,15.2
04/13/2018,922,28,24.2
04/12/2018,922,-1,21.0
04/11/2018,922,20,17.2
04/10/2018,922,19,21.8
04/09/2018,922,20,19.2
04/08/2018,922,25,21.0
04/07/2018,922,25,17.6
04/06/2018,922,22,18.8
04/05/2018,922,-1,17.75
04/04/2018,922,18,19.6
04/03/2018,922,18,18.2
04/02/2018,922,23,21.8
04/01/2018,922,23,20.0
03/31/2018,922,25,17.4
03/30/2018,922,27,20.0
03/29/2018,922,21,17.2
03/28/2018,922,20,18.8
03/27/2018,922,16,19.6
03/26/2018,922,-1,19.0
03/25/2018,922,20,16.2
03/24/2018,922,16,16.6
03/23/2018,922,16,19.8
03/22/2018,922,25,16.8
03/21/2018,922,14,16.25
03/20/2018,922,25,19.4
03/19/2018,922,25,20.0
03/18/2018,922,-1,20.25
03/17/2018,922,15,16.6
03/16/2018,922,16,17.2
03/15/2018,922,22,21.6
03/14/2018,922,18,21.2
03/13/2018,922,19,21.6
05/03/2018,922,16,15.2
05/02/2018,922,16,18.0
05/01/2018,922,17,20.6
04/30/2018,922,18,20.0
04/29/2018,922,25,19.0
04/28/2018,922,19,17.2
