TIME,SEGMENTID,SPEED,averagespeed
02/10/2013,105,28,27.0
12/05/2014,105,23,26.4
02/05/2013,105,-1,24.333333333333332
02/06/2013,105,24,23.333333333333332
02/14/2013,105,28,26.75
02/07/2013,105,27,22.666666666666668
01/23/2013,105,33,26.25
12/29/2014,105,20,22.8
02/18/2013,105,29,24.0
12/03/2014,105,27,26.75
12/06/2014,105,18,23.25
12/01/2014,105,16,22.0
02/15/2013,105,21,20.333333333333332
01/24/2013,105,28,27.0
12/10/2014,105,23,25.6
12/24/2014,105,-1,29.5
02/23/2013,105,-1,26.25
01/20/2013,105,-1,32.0
02/03/2013,105,26,26.25
02/04/2013,105,29,25.4
12/18/2014,105,-1,23.0
01/27/2013,105,-1,25.0
02/19/2013,105,19,24.0
02/20/2013,105,21,27.8
02/26/2013,105,-1,26.5
12/25/2014,105,29,26.333333333333332
12/23/2014,105,-1,22.75
11/28/2014,105,-1,27.5
12/30/2014,105,-1,28.0
12/02/2014,105,-1,26.666666666666668
12/28/2014,105,20,24.25
01/22/2013,105,27,26.25
11/29/2014,105,30,27.75
01/16/2013,105,25,27.25
02/02/2013,105,23,24.6
02/13/2013,105,-1,32.0
01/26/2013,105,23,25.75
12/26/2014,105,27,27.666666666666668
02/27/2013,105,27,24.5
12/14/2014,105,29,28.333333333333332
11/25/2014,105,32,26.6
02/17/2013,105,-1,24.0
02/01/2013,105,21,24.0
02/22/2013,105,34,25.8
02/16/2013,105,31,30.666666666666668
01/28/2013,105,18,20.5
02/21/2013,105,-1,31.0
01/30/2013,105,28,28.0
12/21/2014,105,-1,28.0
11/26/2014,105,-1,27.0
12/19/2014,105,27,26.75
12/11/2014,105,22,24.25
12/17/2014,105,27,27.0
12/04/2014,105,35,27.25
12/15/2014,105,19,24.75
02/25/2013,105,-1,28.5
01/17/2013,105,20,24.5
02/11/2013,105,28,26.8
12/27/2014,105,-1,25.666666666666668
12/08/2014,105,25,25.0
01/29/2013,105,23,22.75
01/15/2013,105,-1,23.5
02/24/2013,105,-1,25.75
12/09/2014,105,-1,26.666666666666668
12/22/2014,105,19,24.0
11/27/2014,105,24,24.6
12/12/2014,105,23,26.5
01/18/2013,105,20,23.2
12/13/2014,105,25,25.0
02/08/2013,105,20,22.8
02/12/2013,105,28,27.0
01/25/2013,105,-1,23.25
01/19/2013,105,17,24.0
12/16/2014,105,-1,26.333333333333332
12/20/2014,105,-1,27.0
01/21/2013,105,26,32.0
12/07/2014,105,-1,28.5
02/09/2013,105,38,29.4
11/30/2014,105,17,20.666666666666668
01/31/2013,105,34,27.0
02/28/2013,105,25,27.4
04/27/2018,105,29,24.8
04/26/2018,105,-1,26.666666666666668
04/25/2018,105,-1,26.5
04/24/2018,105,-1,24.666666666666668
04/23/2018,105,28,28.0
04/22/2018,105,22,24.5
04/21/2018,105,-1,27.0
04/20/2018,105,-1,29.666666666666668
04/19/2018,105,28,26.0
04/18/2018,105,25,23.0
04/17/2018,105,-1,27.0
04/16/2018,105,28,26.0
04/14/2018,105,-1,25.666666666666668
04/13/2018,105,-1,26.666666666666668
04/12/2018,105,-1,26.0
04/11/2018,105,28,28.0
04/10/2018,105,-1,29.0
04/09/2018,105,-1,27.0
04/08/2018,105,-1,27.0
04/07/2018,105,-1,25.0
04/06/2018,105,28,28.0
04/05/2018,105,28,27.0
04/04/2018,105,-1,25.5
04/03/2018,105,-1,24.0
04/02/2018,105,-1,25.5
04/01/2018,105,-1,25.0
03/31/2018,105,-1,23.333333333333332
03/30/2018,105,20,26.666666666666668
03/29/2018,105,-1,26.333333333333332
03/28/2018,105,-1,27.5
03/27/2018,105,28,25.5
03/26/2018,105,-1,26.0
03/25/2018,105,-1,22.666666666666668
03/24/2018,105,28,28.0
03/23/2018,105,-1,28.0
03/22/2018,105,-1,27.0
03/21/2018,105,-1,27.0
03/20/2018,105,-1,29.0
03/19/2018,105,28,22.666666666666668
03/18/2018,105,-1,27.666666666666668
03/17/2018,105,26,28.333333333333332
03/16/2018,105,25,26.5
03/15/2018,105,-1,24.666666666666668
03/14/2018,105,-1,25.5
03/13/2018,105,-1,26.5
05/03/2018,105,29,27.6
05/02/2018,105,27,25.5
05/01/2018,105,-1,26.0
04/30/2018,105,25,24.666666666666668
04/29/2018,105,-1,26.25
04/28/2018,105,-1,26.0
