TIME,SEGMENTID,SPEED,averagespeed
12/28/2014,1258,24,19.333333333333332
02/20/2013,1258,20,20.5
12/13/2014,1258,21,18.6
01/20/2013,1258,-1,20.5
01/23/2013,1258,21,23.2
01/15/2013,1258,22,19.0
02/17/2013,1258,-1,22.0
02/25/2013,1258,23,20.25
01/28/2013,1258,16,18.0
02/27/2013,1258,-1,19.5
02/28/2013,1258,-1,18.0
02/05/2013,1258,25,22.5
12/03/2014,1258,18,18.5
11/27/2014,1258,17,17.0
12/26/2014,1258,27,22.25
12/05/2014,1258,18,18.0
12/01/2014,1258,24,21.0
02/09/2013,1258,22,18.2
02/21/2013,1258,19,21.4
01/29/2013,1258,-1,18.0
12/11/2014,1258,29,23.4
02/14/2013,1258,20,17.0
12/29/2014,1258,18,21.75
02/11/2013,1258,23,22.75
12/09/2014,1258,13,17.4
02/13/2013,1258,-1,18.333333333333332
01/31/2013,1258,16,17.333333333333332
11/30/2014,1258,23,21.666666666666668
02/12/2013,1258,16,20.6
02/26/2013,1258,23,20.4
12/02/2014,1258,27,20.4
02/16/2013,1258,-1,21.0
12/15/2014,1258,16,16.666666666666668
02/18/2013,1258,31,23.5
12/14/2014,1258,14,17.666666666666668
02/02/2013,1258,-1,20.0
02/19/2013,1258,-1,21.5
11/25/2014,1258,16,15.75
02/15/2013,1258,16,19.666666666666668
02/07/2013,1258,14,17.666666666666668
12/16/2014,1258,-1,22.333333333333332
12/27/2014,1258,-1,21.0
02/01/2013,1258,18,19.75
01/18/2013,1258,-1,18.75
12/12/2014,1258,14,20.333333333333332
12/19/2014,1258,14,18.6
12/21/2014,1258,18,20.4
02/24/2013,1258,-1,13.0
11/29/2014,1258,34,24.0
01/27/2013,1258,22,22.333333333333332
01/16/2013,1258,-1,19.333333333333332
12/30/2014,1258,24,22.0
12/24/2014,1258,16,16.0
01/22/2013,1258,24,21.0
02/04/2013,1258,24,18.0
02/22/2013,1258,13,19.75
12/18/2014,1258,19,23.0
12/06/2014,1258,17,20.0
11/28/2014,1258,20,17.0
12/23/2014,1258,13,17.666666666666668
01/21/2013,1258,17,16.666666666666668
01/30/2013,1258,16,19.5
01/19/2013,1258,25,24.666666666666668
01/26/2013,1258,23,23.333333333333332
01/25/2013,1258,13,16.25
02/03/2013,1258,20,22.25
01/24/2013,1258,-1,18.0
02/06/2013,1258,22,22.0
12/17/2014,1258,-1,17.5
12/20/2014,1258,17,17.75
02/10/2013,1258,-1,24.333333333333332
02/08/2013,1258,30,22.666666666666668
12/08/2014,1258,16,17.0
02/23/2013,1258,19,17.0
11/26/2014,1258,25,21.333333333333332
12/04/2014,1258,18,23.75
12/07/2014,1258,31,31.0
12/22/2014,1258,16,18.6
01/17/2013,1258,18,17.8
12/10/2014,1258,12,16.25
12/25/2014,1258,25,23.6
04/27/2018,1258,21,17.2
04/26/2018,1258,-1,17.0
04/25/2018,1258,-1,17.0
04/24/2018,1258,-1,20.666666666666668
04/23/2018,1258,-1,16.666666666666668
04/22/2018,1258,-1,23.0
04/21/2018,1258,-1,22.333333333333332
04/20/2018,1258,-1,16.25
04/19/2018,1258,-1,21.333333333333332
04/18/2018,1258,-1,20.0
04/17/2018,1258,-1,23.5
04/16/2018,1258,-1,15.333333333333334
04/14/2018,1258,16,16.0
04/13/2018,1258,24,23.0
04/12/2018,1258,-1,17.666666666666668
04/11/2018,1258,-1,22.25
04/10/2018,1258,-1,18.0
04/09/2018,1258,-1,17.5
04/08/2018,1258,27,24.666666666666668
04/07/2018,1258,22,18.333333333333332
04/06/2018,1258,15,17.5
04/05/2018,1258,24,19.6
04/04/2018,1258,-1,17.666666666666668
04/03/2018,1258,19,15.666666666666666
04/02/2018,1258,-1,21.333333333333332
04/01/2018,1258,27,24.666666666666668
03/31/2018,1258,17,18.333333333333332
03/30/2018,1258,-1,19.0
03/29/2018,1258,-1,18.0
03/28/2018,1258,-1,20.333333333333332
03/27/2018,1258,-1,15.666666666666666
03/26/2018,1258,-1,21.666666666666668
03/25/2018,1258,21,22.333333333333332
03/24/2018,1258,19,23.0
03/23/2018,1258,24,19.0
03/22/2018,1258,-1,18.333333333333332
03/21/2018,1258,-1,20.0
03/20/2018,1258,-1,21.5
03/19/2018,1258,-1,20.0
03/18/2018,1258,30,23.0
03/17/2018,1258,24,22.0
03/16/2018,1258,18,18.0
03/15/2018,1258,14,16.4
03/14/2018,1258,22,19.0
03/13/2018,1258,-1,15.0
05/03/2018,1258,10,14.8
05/02/2018,1258,-1,19.25
05/01/2018,1258,-1,20.75
04/30/2018,1258,-1,18.0
04/29/2018,1258,27,25.0
04/28/2018,1258,17,21.0
