TIME,SEGMENTID,SPEED,averagespeed
02/02/2013,1038,20,19.25
02/27/2013,1038,14,17.25
02/05/2013,1038,17,14.5
02/09/2013,1038,23,17.4
01/25/2013,1038,5,12.75
12/04/2014,1038,17,17.4
12/07/2014,1038,18,18.0
11/30/2014,1038,18,19.0
02/23/2013,1038,-1,14.5
12/21/2014,1038,18,17.5
01/27/2013,1038,17,17.2
12/11/2014,1038,14,14.0
01/31/2013,1038,22,17.5
12/12/2014,1038,13,16.8
12/14/2014,1038,20,19.666666666666668
01/16/2013,1038,18,18.2
02/01/2013,1038,19,15.6
12/29/2014,1038,20,16.25
12/30/2014,1038,16,15.75
02/14/2013,1038,15,17.0
12/18/2014,1038,11,15.75
12/10/2014,1038,18,17.0
02/03/2013,1038,-1,18.0
12/25/2014,1038,20,17.333333333333332
01/29/2013,1038,14,18.0
02/06/2013,1038,19,18.0
01/26/2013,1038,-1,20.0
11/28/2014,1038,20,18.5
12/08/2014,1038,16,14.75
02/26/2013,1038,-1,16.25
01/21/2013,1038,-1,13.333333333333334
12/05/2014,1038,17,14.75
11/26/2014,1038,-1,18.25
02/12/2013,1038,18,16.75
12/22/2014,1038,-1,17.666666666666668
02/16/2013,1038,11,14.5
01/23/2013,1038,20,16.0
01/20/2013,1038,-1,17.75
01/24/2013,1038,20,19.0
12/27/2014,1038,22,20.25
12/13/2014,1038,14,16.0
02/25/2013,1038,20,17.2
02/18/2013,1038,19,16.0
12/17/2014,1038,20,17.5
12/09/2014,1038,12,18.25
11/27/2014,1038,25,20.2
02/24/2013,1038,19,20.0
12/03/2014,1038,11,12.5
12/24/2014,1038,12,13.0
02/15/2013,1038,21,17.75
02/10/2013,1038,19,19.0
12/26/2014,1038,14,16.0
02/13/2013,1038,14,16.75
12/20/2014,1038,9,15.6
12/06/2014,1038,13,16.333333333333332
12/15/2014,1038,26,18.5
12/02/2014,1038,20,18.0
11/25/2014,1038,-1,17.666666666666668
01/30/2013,1038,14,14.333333333333334
01/17/2013,1038,-1,14.75
11/29/2014,1038,20,17.8
01/15/2013,1038,19,16.25
01/28/2013,1038,19,16.0
12/23/2014,1038,18,16.0
02/11/2013,1038,-1,16.333333333333332
01/18/2013,1038,-1,20.25
01/22/2013,1038,16,17.8
02/21/2013,1038,18,16.25
02/28/2013,1038,19,16.25
02/20/2013,1038,24,19.5
02/04/2013,1038,11,15.6
02/07/2013,1038,20,16.666666666666668
02/17/2013,1038,15,15.333333333333334
02/22/2013,1038,17,17.333333333333332
12/01/2014,1038,13,12.75
12/19/2014,1038,16,18.2
01/19/2013,1038,16,19.333333333333332
12/28/2014,1038,24,20.0
02/08/2013,1038,-1,18.75
02/19/2013,1038,17,16.2
12/16/2014,1038,18,17.4
04/27/2018,1038,20,18.2
04/26/2018,1038,15,16.0
04/25/2018,1038,-1,16.75
04/24/2018,1038,11,16.8
04/23/2018,1038,15,15.666666666666666
04/22/2018,1038,13,14.0
04/21/2018,1038,19,17.75
04/20/2018,1038,9,14.333333333333334
04/19/2018,1038,16,17.25
04/18/2018,1038,12,14.8
04/17/2018,1038,14,14.0
04/16/2018,1038,14,16.75
04/14/2018,1038,12,15.2
04/13/2018,1038,15,16.0
04/12/2018,1038,-1,11.25
04/11/2018,1038,-1,17.5
04/10/2018,1038,20,18.25
04/09/2018,1038,19,16.75
04/08/2018,1038,12,16.0
04/07/2018,1038,12,17.75
04/06/2018,1038,15,17.4
04/05/2018,1038,16,18.666666666666668
04/04/2018,1038,13,16.333333333333332
04/03/2018,1038,17,19.25
04/02/2018,1038,-1,16.0
04/01/2018,1038,20,18.333333333333332
03/31/2018,1038,15,17.333333333333332
03/30/2018,1038,19,15.0
03/29/2018,1038,23,19.8
03/28/2018,1038,21,16.5
03/27/2018,1038,14,15.75
03/26/2018,1038,14,16.0
03/25/2018,1038,-1,18.666666666666668
03/24/2018,1038,23,18.6
03/23/2018,1038,18,17.0
03/22/2018,1038,16,19.2
03/21/2018,1038,15,16.75
03/20/2018,1038,13,17.0
03/19/2018,1038,18,16.25
03/18/2018,1038,12,16.6
03/17/2018,1038,25,21.0
03/16/2018,1038,17,16.0
03/15/2018,1038,-1,16.333333333333332
03/14/2018,1038,27,23.75
03/13/2018,1038,14,16.5
05/03/2018,1038,27,16.6
05/02/2018,1038,20,18.8
05/01/2018,1038,14,14.75
04/30/2018,1038,19,15.4
04/29/2018,1038,16,18.0
04/28/2018,1038,19,20.75
