TIME,SEGMENTID,SPEED,averagespeed
01/23/2013,1286,15,17.0
02/19/2013,1286,15,16.4
12/23/2014,1286,13,13.0
02/12/2013,1286,19,17.25
12/27/2014,1286,18,13.0
02/14/2013,1286,18,14.8
02/07/2013,1286,19,14.8
12/14/2014,1286,15,15.0
12/21/2014,1286,13,13.6
02/11/2013,1286,16,15.0
12/17/2014,1286,11,14.0
11/27/2014,1286,-1,14.0
01/21/2013,1286,15,15.75
12/18/2014,1286,12,12.2
12/13/2014,1286,15,14.0
01/17/2013,1286,-1,18.0
01/31/2013,1286,16,17.6
01/25/2013,1286,12,14.6
02/06/2013,1286,12,15.8
12/30/2014,1286,12,13.8
12/29/2014,1286,16,14.75
01/16/2013,1286,16,13.666666666666666
02/18/2013,1286,15,16.2
01/22/2013,1286,16,15.0
02/01/2013,1286,18,17.75
02/25/2013,1286,-1,19.5
12/26/2014,1286,-1,18.0
12/02/2014,1286,12,13.8
02/05/2013,1286,16,16.4
12/15/2014,1286,19,16.0
01/15/2013,1286,18,15.5
02/02/2013,1286,16,13.4
12/12/2014,1286,10,14.2
02/20/2013,1286,18,16.0
12/20/2014,1286,14,16.6
01/30/2013,1286,14,16.6
11/30/2014,1286,-1,13.0
01/29/2013,1286,13,12.0
12/28/2014,1286,18,18.0
01/20/2013,1286,20,21.25
02/13/2013,1286,20,16.8
01/26/2013,1286,13,15.6
11/29/2014,1286,14,16.25
01/24/2013,1286,24,17.75
12/10/2014,1286,13,16.6
12/05/2014,1286,17,16.2
02/23/2013,1286,-1,13.5
12/01/2014,1286,-1,15.0
02/09/2013,1286,-1,15.25
02/28/2013,1286,14,15.0
12/07/2014,1286,20,20.0
02/26/2013,1286,15,13.25
12/16/2014,1286,12,12.6
02/10/2013,1286,12,17.2
11/25/2014,1286,17,14.8
12/03/2014,1286,10,13.0
11/28/2014,1286,14,15.4
02/22/2013,1286,15,18.6
12/19/2014,1286,15,15.8
12/24/2014,1286,14,16.6
01/27/2013,1286,12,14.75
12/09/2014,1286,14,15.4
02/16/2013,1286,-1,15.5
02/24/2013,1286,-1,15.75
01/28/2013,1286,18,15.8
02/17/2013,1286,16,16.2
11/26/2014,1286,15,14.0
02/04/2013,1286,20,17.5
01/19/2013,1286,14,14.75
02/08/2013,1286,18,15.4
02/15/2013,1286,25,18.0
12/11/2014,1286,14,15.0
12/25/2014,1286,-1,18.333333333333332
02/27/2013,1286,-1,14.0
02/03/2013,1286,27,22.5
12/04/2014,1286,25,16.0
01/18/2013,1286,18,14.0
12/22/2014,1286,6,11.75
12/06/2014,1286,9,14.0
02/21/2013,1286,20,14.6
12/08/2014,1286,-1,16.5
04/27/2018,1286,15,14.0
04/26/2018,1286,24,20.6
04/25/2018,1286,14,18.8
04/24/2018,1286,19,18.75
04/23/2018,1286,22,20.0
04/22/2018,1286,-1,13.333333333333334
04/21/2018,1286,20,18.0
04/20/2018,1286,18,18.4
04/19/2018,1286,17,21.4
04/18/2018,1286,15,17.4
04/17/2018,1286,12,18.0
04/16/2018,1286,15,18.6
04/14/2018,1286,14,11.6
04/13/2018,1286,18,15.8
04/12/2018,1286,20,18.2
04/11/2018,1286,10,17.0
04/10/2018,1286,12,16.2
04/09/2018,1286,14,18.6
04/08/2018,1286,18,15.4
04/07/2018,1286,23,19.0
04/06/2018,1286,14,16.8
04/05/2018,1286,14,17.6
04/04/2018,1286,20,19.2
04/03/2018,1286,14,16.6
04/02/2018,1286,14,18.2
04/01/2018,1286,19,18.0
03/31/2018,1286,-1,14.25
03/30/2018,1286,18,17.75
03/29/2018,1286,14,17.6
03/28/2018,1286,20,16.8
03/27/2018,1286,20,18.2
03/26/2018,1286,12,15.2
03/25/2018,1286,15,19.6
03/24/2018,1286,20,17.5
03/23/2018,1286,13,18.8
03/22/2018,1286,17,17.8
03/21/2018,1286,20,18.6
03/20/2018,1286,18,18.2
03/19/2018,1286,20,19.2
03/18/2018,1286,24,20.75
03/17/2018,1286,26,19.2
03/16/2018,1286,11,15.4
03/15/2018,1286,20,18.8
03/14/2018,1286,18,18.6
03/13/2018,1286,27,16.2
05/03/2018,1286,14,14.8
05/02/2018,1286,17,18.2
05/01/2018,1286,16,19.0
04/30/2018,1286,17,19.75
04/29/2018,1286,16,18.6
04/28/2018,1286,19,17.6
