TIME,SEGMENTID,SPEED,averagespeed
12/17/2014,925,13,15.6
02/10/2013,925,14,15.8
01/26/2013,925,26,20.25
02/06/2013,925,16,16.4
02/11/2013,925,16,17.25
01/29/2013,925,-1,15.0
12/18/2014,925,20,18.2
12/05/2014,925,11,15.0
01/31/2013,925,24,19.4
12/22/2014,925,14,14.8
01/22/2013,925,16,17.0
01/19/2013,925,18,16.4
01/20/2013,925,15,21.6
11/29/2014,925,23,16.25
01/25/2013,925,21,17.6
01/18/2013,925,18,19.6
12/21/2014,925,-1,13.5
02/12/2013,925,14,16.2
12/11/2014,925,12,15.0
02/28/2013,925,15,15.8
02/25/2013,925,13,15.6
12/29/2014,925,-1,20.0
12/25/2014,925,-1,16.333333333333332
01/27/2013,925,20,24.0
12/24/2014,925,24,17.0
01/30/2013,925,15,16.75
02/01/2013,925,14,18.75
01/23/2013,925,27,17.6
02/08/2013,925,12,18.2
02/09/2013,925,33,17.6
01/21/2013,925,25,19.8
02/03/2013,925,14,17.2
02/13/2013,925,16,16.0
02/20/2013,925,16,16.8
02/18/2013,925,15,14.75
02/02/2013,925,22,20.6
02/19/2013,925,15,15.666666666666666
12/19/2014,925,14,16.4
02/26/2013,925,-1,17.75
12/20/2014,925,12,16.666666666666668
02/07/2013,925,20,15.0
12/27/2014,925,16,14.5
12/26/2014,925,14,13.75
12/01/2014,925,18,19.0
01/16/2013,925,16,21.75
02/21/2013,925,15,15.8
02/22/2013,925,16,17.25
02/16/2013,925,13,20.0
12/23/2014,925,14,13.2
02/15/2013,925,14,18.6
02/23/2013,925,-1,18.5
12/03/2014,925,16,16.4
11/27/2014,925,16,16.25
02/04/2013,925,15,19.2
12/12/2014,925,18,17.8
12/10/2014,925,15,17.666666666666668
02/17/2013,925,15,18.6
12/30/2014,925,10,13.666666666666666
11/26/2014,925,16,15.6
12/08/2014,925,13,15.2
01/15/2013,925,-1,18.75
02/27/2013,925,14,16.6
12/15/2014,925,14,13.5
02/24/2013,925,-1,16.0
12/09/2014,925,17,14.6
01/28/2013,925,16,16.0
12/02/2014,925,14,14.75
11/28/2014,925,15,14.25
12/07/2014,925,12,14.75
11/30/2014,925,14,12.0
01/24/2013,925,14,15.2
12/04/2014,925,15,18.25
12/13/2014,925,13,15.0
11/25/2014,925,16,15.25
01/17/2013,925,-1,15.333333333333334
02/14/2013,925,16,15.0
12/06/2014,925,-1,18.0
02/05/2013,925,16,16.5
12/14/2014,925,-1,16.333333333333332
12/28/2014,925,22,16.8
12/16/2014,925,16,16.666666666666668
04/27/2018,925,11,11.8
04/26/2018,925,16,17.0
04/25/2018,925,18,20.75
04/24/2018,925,15,18.6
04/23/2018,925,-1,19.25
04/22/2018,925,24,21.8
04/21/2018,925,16,17.8
04/20/2018,925,23,18.2
04/19/2018,925,23,20.8
04/18/2018,925,16,17.2
04/17/2018,925,13,19.6
04/16/2018,925,16,16.8
04/14/2018,925,12,12.2
04/13/2018,925,-1,20.0
04/12/2018,925,-1,19.5
04/11/2018,925,23,20.8
04/10/2018,925,23,20.4
04/09/2018,925,23,18.0
04/08/2018,925,-1,16.5
04/07/2018,925,21,18.4
04/06/2018,925,13,16.2
04/05/2018,925,-1,15.75
04/04/2018,925,23,19.5
04/03/2018,925,14,17.8
04/02/2018,925,20,18.8
04/01/2018,925,15,16.0
03/31/2018,925,16,15.6
03/30/2018,925,-1,19.0
03/29/2018,925,-1,20.0
03/28/2018,925,-1,18.5
03/27/2018,925,18,18.2
03/26/2018,925,-1,18.0
03/25/2018,925,16,17.0
03/24/2018,925,20,16.25
03/23/2018,925,18,19.8
03/22/2018,925,18,19.8
03/21/2018,925,15,18.4
03/20/2018,925,13,15.2
03/19/2018,925,16,15.8
03/18/2018,925,23,21.0
03/17/2018,925,16,18.5
03/16/2018,925,26,20.8
03/15/2018,925,13,17.4
03/14/2018,925,23,20.75
03/13/2018,925,12,16.4
05/03/2018,925,15,15.2
05/02/2018,925,14,15.0
05/01/2018,925,10,16.5
04/30/2018,925,16,16.8
04/29/2018,925,-1,15.5
04/28/2018,925,23,19.0
