TIME,SEGMENTID,SPEED
12/23/2014 11:50:32 PM,1058,-1
12/05/2014 11:50:32 PM,1058,-1
12/06/2014 11:50:32 PM,1058,-1
12/14/2014 11:50:32 PM,1058,-1
12/05/2014 11:50:32 PM,1058,-1
12/20/2014 11:50:32 PM,1058,-1
12/09/2014 11:50:32 PM,1058,-1
12/25/2014 11:50:32 PM,1058,-1
01/23/2013 11:50:32 PM,1058,-1
12/07/2014 11:50:32 PM,1058,24
12/09/2014 11:50:32 PM,1058,14
01/21/2013 11:50:32 PM,1058,24
12/22/2014 11:50:32 PM,1058,-1
01/19/2013 11:50:32 PM,1058,-1
11/26/2014 11:50:32 PM,1058,20
02/24/2013 11:50:32 PM,1058,-1
02/28/2013 11:50:32 PM,1058,12
11/30/2014 11:50:32 PM,1058,-1
12/29/2014 11:50:32 PM,1058,-1
02/14/2013 11:50:32 PM,1058,19
12/24/2014 11:50:32 PM,1058,-1
12/03/2014 11:50:32 PM,1058,-1
02/06/2013 11:50:32 PM,1058,24
01/27/2013 11:50:32 PM,1058,-1
12/15/2014 11:50:32 PM,1058,16
01/17/2013 11:50:32 PM,1058,24
12/22/2014 11:50:32 PM,1058,-1
01/22/2013 11:50:32 PM,1058,-1
01/25/2013 11:50:32 PM,1058,24
11/27/2014 11:50:32 PM,1058,-1
02/14/2013 11:50:32 PM,1058,21
12/13/2014 11:50:32 PM,1058,24
12/30/2014 11:50:32 PM,1058,-1
02/06/2013 11:50:32 PM,1058,-1
02/27/2013 11:50:32 PM,1058,-1
02/17/2013 11:50:32 PM,1058,-1
12/11/2014 11:50:32 PM,1058,25
12/06/2014 11:50:32 PM,1058,24
01/17/2013 11:50:32 PM,1058,-1
12/09/2014 11:50:32 PM,1058,17
02/13/2013 11:50:32 PM,1058,19
12/18/2014 11:50:32 PM,1058,24
01/18/2013 11:50:32 PM,1058,-1
02/19/2013 11:50:32 PM,1058,-1
12/28/2014 11:50:32 PM,1058,-1
12/28/2014 11:50:32 PM,1058,-1
