TIME,SEGMENTID,SPEED
12/28/2014 11:50:32 PM,1258,24
02/20/2013 11:50:32 PM,1258,20
12/13/2014 11:50:32 PM,1258,21
01/20/2013 11:50:32 PM,1258,-1
01/23/2013 11:50:32 PM,1258,21
01/15/2013 11:50:32 PM,1258,22
02/17/2013 11:50:32 PM,1258,-1
02/25/2013 11:50:32 PM,1258,23
01/28/2013 11:50:32 PM,1258,16
02/27/2013 11:50:32 PM,1258,-1
02/28/2013 11:50:32 PM,1258,-1
02/05/2013 11:50:32 PM,1258,25
02/28/2013 11:50:32 PM,1258,20
12/03/2014 11:50:32 PM,1258,18
11/27/2014 11:50:32 PM,1258,17
12/26/2014 11:50:32 PM,1258,27
12/05/2014 11:50:32 PM,1258,18
12/01/2014 11:50:32 PM,1258,24
02/09/2013 11:50:32 PM,1258,22
02/21/2013 11:50:32 PM,1258,19
01/29/2013 11:50:32 PM,1258,-1
02/17/2013 11:50:32 PM,1258,26
02/17/2013 11:50:32 PM,1258,20
12/11/2014 11:50:32 PM,1258,29
02/14/2013 11:50:32 PM,1258,20
02/05/2013 11:50:32 PM,1258,-1
12/05/2014 11:50:32 PM,1258,18
12/29/2014 11:50:32 PM,1258,18
12/28/2014 11:50:32 PM,1258,-1
02/11/2013 11:50:32 PM,1258,23
12/09/2014 11:50:32 PM,1258,13
02/13/2013 11:50:32 PM,1258,-1
01/31/2013 11:50:32 PM,1258,16
11/30/2014 11:50:32 PM,1258,23
02/12/2013 11:50:32 PM,1258,16
02/26/2013 11:50:32 PM,1258,23
02/13/2013 11:50:32 PM,1258,20
02/09/2013 11:50:32 PM,1258,19
12/03/2014 11:50:32 PM,1258,-1
12/13/2014 11:50:32 PM,1258,14
11/30/2014 11:50:32 PM,1258,-1
12/11/2014 11:50:32 PM,1258,29
12/02/2014 11:50:32 PM,1258,27
02/16/2013 11:50:32 PM,1258,-1
12/15/2014 11:50:32 PM,1258,16
01/29/2013 11:50:32 PM,1258,-1
02/18/2013 11:50:32 PM,1258,31
12/14/2014 11:50:32 PM,1258,14
02/25/2013 11:50:32 PM,1258,-1
02/02/2013 11:50:32 PM,1258,-1
02/19/2013 11:50:32 PM,1258,-1
11/25/2014 11:50:32 PM,1258,16
02/15/2013 11:50:32 PM,1258,16
02/07/2013 11:50:32 PM,1258,14
02/25/2013 11:50:32 PM,1258,13
12/16/2014 11:50:32 PM,1258,-1
12/27/2014 11:50:32 PM,1258,-1
12/16/2014 11:50:32 PM,1258,23
12/16/2014 11:50:32 PM,1258,17
11/27/2014 11:50:32 PM,1258,-1
02/01/2013 11:50:32 PM,1258,18
01/18/2013 11:50:32 PM,1258,-1
12/12/2014 11:50:32 PM,1258,14
01/23/2013 11:50:32 PM,1258,21
11/30/2014 11:50:32 PM,1258,-1
12/19/2014 11:50:32 PM,1258,14
12/21/2014 11:50:32 PM,1258,18
02/24/2013 11:50:32 PM,1258,-1
02/21/2013 11:50:32 PM,1258,20
12/12/2014 11:50:32 PM,1258,-1
01/31/2013 11:50:32 PM,1258,18
11/29/2014 11:50:32 PM,1258,34
01/27/2013 11:50:32 PM,1258,22
01/29/2013 11:50:32 PM,1258,24
01/16/2013 11:50:32 PM,1258,-1
02/11/2013 11:50:32 PM,1258,28
12/30/2014 11:50:32 PM,1258,24
12/24/2014 11:50:32 PM,1258,16
01/29/2013 11:50:32 PM,1258,18
02/15/2013 11:50:32 PM,1258,27
11/25/2014 11:50:32 PM,1258,-1
01/22/2013 11:50:32 PM,1258,24
02/04/2013 11:50:32 PM,1258,24
12/11/2014 11:50:32 PM,1258,17
02/22/2013 11:50:32 PM,1258,13
02/22/2013 11:50:32 PM,1258,16
12/19/2014 11:50:32 PM,1258,15
11/29/2014 11:50:32 PM,1258,16
02/16/2013 11:50:32 PM,1258,24
01/27/2013 11:50:32 PM,1258,18
02/12/2013 11:50:32 PM,1258,15
